BehaviorType,StartFrame,EndFrame,DTW_distance
bite,3559,3580,171.25
bite,3464,3470,33.41
bite,1421,1450,529.63
bite,3031,3045,512.45
bite,1355,1366,884.35
bite,3389,3432,296.19
bite,1166,1177,1863.99
bite,3749,3782,397.96
bite,1117,1129,259.75
bite,3822,3842,363.45
bite,3903,3930,443.23
bite,3933,3953,662.95
bite,3211,3233,362.88
chase,3079,3141,775.0
chase,3200,3210,235.45
chase,2562,2604,236.96
chase,2645,2968,1592.14
chase,3001,3008,276.59
chase,3260,3320,792.73
chase,2519,2555,366.62
chase,3592,3625,980.61
chase,3690,3748,584.09
chase,3794,3821,314.98
chase,3957,3998,357.41
chase,3260,3269,135.3
chase,2429,2508,404.0
chase,4011,4028,495.33
chase,1471,1483,225.18
chase,1683,1832,1130.45
chase,1389,1420,775.35
chase,1887,1905,755.96
chase,1906,1938,554.94
chase,1451,1470,160.67
chase,1367,1380,576.38
chase,1959,2086,1309.76
chase,557,583,459.62
chase,2117,2145,1012.17
chase,537,556,837.25
chase,2146,2176,753.07
chase,521,536,1070.44
circle,3650,3689,533.05
circle,3158,3207,657.21
circle,3370,3375,475.92
circle,3490,3507,432.3
circle,3433,3463,578.31
display,3858,3902,785.85
display,3530,3555,950.2
display,3783,3793,569.69
display,2229,2264,568.08
display,3321,3388,1151.36
display,3999,4010,265.53
display,2265,2404,1225.58
normal,2177,2221,786.79
normal,2605,2644,609.11
normal,2969,3000,682.07
normal,584,690,629.47
normal,1130,1165,3377.62
normal,3012,3030,749.69
normal,1178,1354,2244.5
normal,3046,3078,909.24
normal,3626,3649,544.94
normal,1381,1388,1119.01
normal,3581,3591,128.81
normal,3234,3299,846.57
normal,1645,1682,804.84
normal,2089,2116,751.41
normal,500,519,921.1
