FrameIndex,Fish0_x,Fish0_y,Fish1_x,Fish1_y,Behavior,Fish0_moving_distance,Fish1_moving_distance,Fish0_moving_direction,Fish1_moving_direction
0,112,563,704,804,0,85.15,3.61,0,0
1,107,478,707,806,0,85.09,7.28,0,0
2,103,393,714,808,0,93.09,9.22,0,0
3,99,300,723,810,0,0.0,7.07,0,0
4,99,300,730,811,0,0.0,2.0,0,0
5,99,300,732,811,0,0.0,5.39,0,0
6,99,300,734,806,0,0.0,12.21,0,0
7,99,300,741,796,0,5.1,19.85,0,0
8,100,305,756,783,0,8.06,23.32,0,0
9,101,313,776,771,0,9.06,23.09,0,0
10,102,322,798,764,0,3.0,21.59,0,0
11,102,325,819,759,0,0.0,16.28,0,0
12,102,325,835,756,0,0.0,18.68,0,0
13,102,325,853,751,0,0.0,16.64,0,0
14,102,325,867,742,0,0.0,15.0,0,0
15,102,325,879,733,0,3.16,10.3,0,0
16,101,322,888,728,0,2.0,27.07,0,0
17,101,320,915,726,0,2.0,57.01,0,0
18,101,318,972,725,0,0.0,69.01,0,0
19,101,318,1041,726,0,2.0,65.01,0,0
20,101,320,1106,725,0,2.0,46.17,0,0
21,101,322,1152,721,0,2.24,43.1,0,0
22,102,324,1195,718,0,1.0,37.01,0,0
23,102,325,1232,717,0,0.0,32.98,0,0
24,102,325,1264,725,0,0.0,22.02,0,0
25,102,325,1281,739,0,0.0,17.03,0,0
26,102,325,1292,752,0,0.0,8.06,0,0
27,102,325,1296,759,0,1.0,14.42,0,0
28,102,324,1288,771,0,0.0,32.89,0,0
29,102,324,1257,782,0,1.41,51.62,0,0
30,101,323,1206,790,0,1.0,53.08,0,0
31,101,322,1153,787,0,3.16,47.1,0,0
32,100,319,1106,784,0,1.0,35.36,0,0
33,100,320,1071,789,0,1.0,30.41,0,0
34,100,319,1044,803,0,2.0,22.2,0,0
35,100,321,1031,821,0,3.0,16.28,0,0
36,100,318,1028,837,0,0.0,22.09,0,0
37,100,318,1050,839,0,1.0,23.09,0,0
38,100,317,1073,837,0,1.0,21.38,0,0
39,100,316,1094,833,0,1.0,0.0,0,0
40,100,315,1094,833,0,0.0,0.0,0,0
41,100,315,1094,833,0,0.0,0.0,0,0
42,100,315,1094,833,0,5.0,0.0,0,0
43,100,310,1094,833,0,1.41,0.0,0,0
44,99,309,1094,833,0,2.0,0.0,0,0
45,99,307,1094,833,0,4.0,0.0,0,0
46,99,311,1094,833,0,2.24,0.0,0,0
47,98,309,1094,833,0,1.0,0.0,0,0
48,98,308,1094,833,0,8.25,0.0,0,0
49,96,300,1094,833,0,9.06,0.0,0,0
50,97,309,1094,833,0,15.3,0.0,0,0
51,100,324,1094,833,0,17.46,0.0,0,0
52,104,341,1094,833,0,2.0,0.0,0,0
53,104,343,1094,833,0,4.12,0.0,0,0
54,103,339,1094,833,0,0.0,0.0,0,0
55,103,339,1094,833,0,1.41,0.0,0,0
56,102,338,1094,833,0,13.04,0.0,0,0
57,101,325,1094,833,0,10.05,0.0,0,0
58,102,335,1094,833,0,4.12,0.0,0,0
59,103,339,1094,833,0,9.0,0.0,0,0
60,103,348,1094,833,0,19.42,0.0,0,0
61,99,329,1094,833,0,9.22,0.0,0,0
62,97,320,1094,833,0,2.0,0.0,0,0
63,97,318,1094,833,0,3.61,0.0,0,0
64,99,321,1094,833,0,1.0,0.0,0,0
65,99,322,1094,833,0,1.0,0.0,0,0
66,98,322,1094,833,0,1.0,0.0,0,0
67,98,323,1094,833,0,1.0,0.0,0,0
68,98,322,1094,833,0,0.0,0.0,0,0
69,98,322,1094,833,0,1.0,0.0,0,0
70,98,321,1094,833,0,1.0,0.0,0,0
