BehaviorType,StartFrame,EndFrame,DTW_distance
bite,3903,3930,515.0
bite,3031,3045,517.41
bite,3211,3233,417.16
bite,1421,1450,534.61
bite,3464,3470,47.73
bite,1355,1366,912.16
bite,3559,3580,183.49
bite,3389,3432,296.55
bite,1117,1129,275.42
bite,3749,3782,410.14
bite,3822,3842,377.46
bite,1166,1177,1867.19
chase,3592,3625,1047.48
chase,3690,3748,582.52
chase,2519,2555,496.07
chase,3260,3320,809.92
chase,3260,3269,125.81
chase,3794,3821,372.31
chase,3200,3210,238.34
chase,3079,3141,776.62
chase,3001,3008,296.21
chase,2562,2604,274.75
chase,2429,2508,435.99
chase,2645,2968,1632.64
chase,1683,1832,1141.29
chase,1367,1380,578.1
chase,2117,2145,1063.5
chase,521,536,1084.47
chase,1959,2086,1322.39
chase,537,556,840.09
chase,1389,1420,798.72
chase,1906,1938,573.12
chase,557,583,469.01
chase,1887,1905,790.54
chase,2146,2176,739.73
chase,1451,1470,183.01
chase,1471,1483,260.83
circle,3490,3507,523.21
circle,3433,3463,595.42
circle,3370,3375,477.59
circle,3158,3207,674.37
circle,3650,3689,518.44
display,3530,3555,944.27
display,3783,3793,579.99
display,3321,3388,1152.07
display,3858,3902,791.97
display,2265,2404,1261.29
display,2229,2264,585.1
normal,3626,3649,546.04
normal,584,690,660.24
normal,1130,1165,3358.3
normal,3581,3591,138.16
normal,2177,2221,824.98
normal,1381,1388,1137.49
normal,3234,3299,881.2
normal,1645,1682,833.77
normal,3046,3078,913.27
normal,3012,3030,749.22
normal,2969,3000,690.47
normal,2605,2644,614.18
normal,2089,2116,770.37
normal,1178,1354,2464.85
normal,500,519,922.8
