VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece
1-14,bite,3211,3233,1,362.88,15.95,13.27,351,292,59
1-14,bite,3464,3470,1,33.41,8.5,11.17,51,67,-16
1-14,bite,3749,3782,1,397.96,32.79,31.52,1082,1040,42
1-14,bite,3903,3930,1,443.23,37.7,36.93,1018,997,21
1-14,bite,15816,15846,1,290.98,17.67,22.33,530,670,-140
1-14,bite,4139,4176,1,588.26,14.24,13.89,527,514,13
1-14,bite,13430,13498,1,793.75,16.62,20.12,1130,1368,-238
1-14,bite,13337,13368,1,716.7,20.9,12.9,648,400,248
1-14,bite,12923,12944,1,1152.45,24.57,43.86,516,921,-405
1-14,bite,6620,6638,1,708.91,9.22,17.22,166,310,-144
1-14,bite,12618,12674,1,707.73,12.34,19.98,691,1119,-428
1-14,bite,12078,12129,1,616.38,17.88,16.47,912,840,72
1-14,bite,12002,12013,1,556.24,19.18,24.18,211,266,-55
1-14,bite,3031,3045,1,512.45,9.14,16.07,128,225,-97
1-14,bite,11593,11635,1,331.46,21.05,23.36,884,981,-97
1-14,bite,1421,1450,1,529.63,41.1,46.38,1192,1345,-153
1-14,bite,26035,26062,1,919.13,14.74,30.52,398,824,-426
1-14,bite,1355,1366,1,884.35,66.91,40.36,736,444,292
1-14,bite,26413,26436,1,1154.31,12.13,30.13,279,693,-414
1-14,bite,26452,26512,1,698.61,20.7,22.58,1242,1355,-113
1-14,chase,4768,4835,2,553.32,16.99,16.04,1138,1075,63
1-14,chase,13539,13554,2,278.63,27.27,32.8,409,492,-83
1-14,chase,4606,4628,2,353.78,19.86,17.18,437,378,59
1-14,chase,5072,5090,2,792.41,23.17,22.0,417,396,21
1-14,chase,4836,4908,2,524.39,20.24,17.96,1457,1293,164
1-14,chase,21669,21693,2,1210.88,40.12,26.25,963,630,333
1-14,chase,5207,5230,2,829.65,31.83,22.57,732,519,213
1-14,chase,5291,5369,2,622.46,23.99,23.28,1871,1816,55
1-14,chase,1367,1380,2,576.38,40.08,30.62,521,398,123
1-14,chase,7775,7795,2,663.72,31.3,26.4,626,528,98
1-14,chase,9284,9304,2,433.04,42.05,27.1,841,542,299
1-14,chase,537,556,2,837.25,27.79,24.84,528,472,56
1-14,chase,5159,5172,2,736.7,21.62,13.77,281,179,102
1-14,chase,13954,13976,2,532.18,40.09,44.0,882,968,-86
1-14,chase,3260,3269,2,135.3,12.56,10.56,113,95,18
1-14,chase,3079,3141,2,775.0,16.29,18.92,1010,1173,-163
1-14,chase,4447,4481,2,1111.07,23.79,31.79,809,1081,-272
1-14,chase,3690,3748,2,584.09,26.48,28.22,1536,1637,-101
1-14,chase,2117,2145,2,1012.17,39.14,25.86,1096,724,372
1-14,chase,2519,2555,2,366.62,23.17,21.81,834,785,49
1-14,chase,1959,2086,2,1309.76,28.22,31.87,3584,4048,-464
1-14,chase,3957,3998,2,357.41,18.0,18.05,738,740,-2
1-14,chase,4011,4028,2,495.33,22.12,22.47,376,382,-6
1-14,chase,1683,1832,2,1130.45,28.27,33.16,4212,4941,-729
1-14,chase,15136,15162,2,551.95,27.12,18.5,705,481,224
1-14,chase,2562,2604,2,236.96,27.74,24.69,1165,1037,128
1-14,display,12209,12240,4,1105.7,14.55,14.39,451,446,5
1-14,display,12367,12390,4,641.68,14.13,31.83,325,732,-407
1-14,display,12396,12450,4,1360.65,7.76,15.3,419,826,-407
1-14,display,23465,23515,4,636.73,15.64,10.58,782,529,253
1-14,display,12555,12617,4,861.38,10.06,16.69,624,1035,-411
1-14,display,14141,14210,4,922.8,10.48,14.25,723,983,-260
1-14,display,22230,22280,4,889.83,9.94,8.44,497,422,75
1-14,display,12860,12887,4,475.51,16.3,19.74,440,533,-93
1-14,display,20638,20701,4,1281.52,7.87,8.05,496,507,-11
1-14,display,20311,20357,4,966.63,20.28,17.67,933,813,120
1-14,display,18341,18372,4,488.74,9.29,14.0,288,434,-146
1-14,display,13185,13300,4,1488.72,11.97,13.31,1377,1531,-154
1-14,display,11730,11767,4,558.4,9.3,12.41,344,459,-115
1-14,display,15864,15920,4,777.27,18.73,18.23,1049,1021,28
1-14,display,15205,15225,4,633.6,12.5,20.1,250,402,-152
1-14,display,24754,24790,4,586.67,12.69,17.53,457,631,-174
1-14,display,24997,25018,4,875.79,19.9,14.48,418,304,114
1-14,display,19865,19918,4,1013.2,10.55,9.85,559,522,37
1-14,display,27096,27150,4,1840.69,8.46,13.85,457,748,-291
1-14,display,4398,4446,4,787.71,8.73,15.15,419,727,-308
1-14,display,11520,11562,4,1080.04,15.29,11.67,642,490,152
1-14,display,3783,3793,4,569.69,10.5,13.3,105,133,-28
1-14,display,3858,3902,4,785.85,12.23,15.05,538,662,-124
1-14,display,3999,4010,4,265.53,11.55,15.55,127,171,-44
1-14,display,4033,4102,4,920.46,21.93,12.55,1513,866,647
1-14,display,4254,4286,4,1129.07,15.88,9.34,508,299,209
1-14,display,4327,4378,4,705.9,9.39,12.88,479,657,-178
1-14,display,3321,3388,4,1151.36,5.78,7.73,387,518,-131
1-14,display,2229,2264,4,568.08,13.17,30.09,461,1053,-592
1-14,display,4510,4540,4,706.4,28.0,17.13,840,514,326
1-14,display,4584,4605,4,430.99,17.67,9.0,371,189,182
1-14,display,4655,4662,4,444.0,14.43,11.29,101,79,22
1-14,display,5025,5041,4,579.54,8.75,18.81,140,301,-161
1-14,display,5148,5158,4,699.61,11.7,14.1,117,141,-24
