BehaviorName,StartFrame,EndFrame
bite,680,720
bite,735,840
bite,1383,1419
bite,3093,3152
bite,3153,3201
bite,3804,3856
bite,3882,3933
bite,3934,3993
bite,4101,4154
normal,7484,7545
normal,8649,8684
normal,8670,8756
normal,9041,9076
normal,9644,9689
circle,10209,10232
normal,10341,10389
normal,10420,10505
normal,10855,10892
normal,10898,10958
normal,11305,11376
normal,11453,11525
normal,11893,11942
normal,12011,12114
normal,12467,12508
normal,12549,12649
normal,12766,12805
display,850,905
display,1215,1280
display,1420,1495
display,1700,1758
display,1794,1851
display,1956,2010
display,2790,2817
bite,4223,4248
bite,4277,4323
bite,4497,4532
display,9188,9255
display,10060,10083
bite,12520,12540
normal,12831,12964
bite,13134,13175
normal,13200,13290
normal,13577,13626
chase,13685,13742
normal,14390,14465
normal,14507,14573
normal,14801,14869
chase,15150,15165
normal,15183,15225
bite,15230,15246
normal,15253,15294
normal,15523,15589
normal,15628,15674
bite,15949,15965
bite,15978,15992
bite,16052,16070
chase,16117,16140
chase,16217,16244
chase,16372,16388
chase,16466,16525
chase,16530,16552
bite,16946,16963
