FrameIndex,Fish0_x,Fish0_y,Fish1_x,Fish1_y
0,112,563,704,804
1,107,478,707,806
2,103,393,714,808
3,99,300,723,810
4,99,300,730,811
5,99,300,732,811
6,99,300,734,806
7,99,300,741,796
8,100,305,756,783
9,101,313,776,771
10,102,322,798,764
11,102,325,819,759
12,102,325,835,756
13,102,325,853,751
14,102,325,867,742
15,102,325,879,733
16,101,322,888,728
17,101,320,915,726
18,101,318,972,725
19,101,318,1041,726
20,101,320,1106,725
21,101,322,1152,721
22,102,324,1195,718
23,102,325,1232,717
24,102,325,1264,725
25,102,325,1281,739
26,102,325,1292,752
27,102,325,1296,759
28,102,324,1288,771
29,102,324,1257,782
30,101,323,1206,790
31,101,322,1153,787
32,100,319,1106,784
33,100,320,1071,789
34,100,319,1044,803
35,100,321,1031,821
36,100,318,1028,837
37,100,318,1050,839
38,100,317,1073,837
39,100,316,1094,833
40,100,315,1094,833
41,100,315,1094,833
42,100,315,1094,833
43,100,310,1094,833
44,99,309,1094,833
45,99,307,1094,833
46,99,311,1094,833
47,98,309,1094,833
48,98,308,1094,833
49,96,300,1094,833
50,97,309,1094,833
51,100,324,1094,833
52,104,341,1094,833
53,104,343,1094,833
54,103,339,1094,833
55,103,339,1094,833
56,102,338,1094,833
57,101,325,1094,833
58,102,335,1094,833
59,103,339,1094,833
60,103,348,1094,833
61,99,329,1094,833
62,97,320,1094,833
63,97,318,1094,833
64,99,321,1094,833
65,99,322,1094,833
66,98,322,1094,833
67,98,323,1094,833
68,98,322,1094,833
69,98,322,1094,833
70,98,321,1094,833
71,98,322,1094,833
72,98,325,1094,833
73,99,328,1094,833
74,99,330,1094,833
75,99,330,1094,833
76,99,330,1094,833
77,99,329,1094,833
78,99,329,1094,833
79,99,329,1094,833
80,99,329,1094,833
81,99,329,1094,833
82,99,329,1094,833
83,98,328,1094,833
84,98,327,1094,833
85,98,325,1094,833
86,99,323,1094,833
87,99,325,1094,833
88,99,328,1094,833
89,99,332,1094,833
90,100,331,1094,833
91,100,331,1094,833
92,100,328,1094,833
93,100,328,1094,833
94,100,327,1094,833
95,100,330,1094,833
96,100,330,1094,833
97,100,333,1094,833
98,101,335,1094,833
99,101,330,1094,833
100,100,324,1094,833
101,99,319,1094,833
102,99,321,1094,833
103,99,322,1094,833
104,99,322,1094,833
105,99,323,1094,833
106,99,323,1094,833
107,99,323,1094,833
108,98,323,1094,833
109,98,323,1094,833
110,98,323,1094,833
111,99,324,1094,833
112,98,324,1094,833
113,98,326,1094,833
114,98,327,1094,833
115,99,329,1094,833
116,99,330,1094,833
117,99,330,1094,833
118,99,330,1094,833
119,98,330,1094,833
120,98,329,1094,833
121,98,329,1094,833
122,97,326,1094,833
123,96,325,1094,833
124,96,325,1094,833
125,96,323,1094,833
126,97,323,1094,833
127,98,321,1094,833
128,98,322,1094,833
129,98,321,1094,833
130,98,321,1094,833
131,98,320,1094,833
132,98,320,1094,833
133,98,320,1094,833
134,97,323,1094,833
135,97,325,1094,833
136,96,328,1094,833
137,97,327,1094,833
138,97,327,1094,833
139,97,327,1094,833
140,97,327,1094,833
141,96,326,1094,833
142,96,325,1094,833
143,96,324,1094,833
144,96,323,1094,833
145,97,323,1094,833
146,97,323,1094,833
147,97,323,1094,833
148,97,324,1094,833
149,97,320,1094,833
150,97,318,1094,833
151,98,314,1094,833
152,98,316,1094,833
153,98,320,1094,833
154,97,322,1094,833
155,97,327,1094,833
156,96,319,1094,833
157,97,320,1094,833
158,96,316,1094,833
159,96,316,1094,833
160,95,317,1094,833
161,95,318,1094,833
162,95,320,1094,833
163,96,322,1094,833
164,99,337,1094,833
165,101,337,1094,833
166,103,352,1094,833
167,101,335,1094,833
168,101,334,1094,833
169,99,315,1094,833
170,99,315,1094,833
171,99,315,1094,833
172,99,315,1094,833
173,98,314,1094,833
174,98,315,1094,833
175,98,314,1094,833
176,98,315,1094,833
177,98,314,1094,833
178,98,315,1094,833
179,98,315,1094,833
180,98,316,1094,833
181,98,316,1094,833
182,98,316,1094,833
183,98,316,1094,833
184,98,317,1094,833
185,98,317,1094,833
186,98,318,1094,833
187,98,318,1094,833
188,98,318,1094,833
189,98,318,1094,833
190,98,317,1094,833
191,98,320,1094,833
192,97,304,1094,833
193,95,293,1094,833
194,93,279,1094,833
195,93,287,1094,833
196,94,290,1094,833
197,94,292,1094,833
198,93,284,1094,833
199,91,274,1094,833
200,90,267,1094,833
201,90,268,1094,833
202,92,267,1094,833
203,92,258,1094,833
204,91,257,1094,833
205,85,261,1094,833
206,81,273,1094,833
207,76,266,1094,833
208,84,363,1094,833
209,91,460,1094,833
210,108,557,1094,833
211,116,545,1094,833
212,125,534,1094,833
213,124,533,1094,833
214,126,575,1094,833
215,129,649,1094,833
216,133,724,1094,833
217,134,757,1094,833
218,135,759,1094,833
219,135,759,1094,833
220,135,759,1094,833
221,135,759,1094,833
222,136,760,1094,833
223,135,730,1094,833
224,134,734,1094,833
225,134,734,1094,833
226,135,762,1094,833
227,138,735,1094,833
228,143,724,1094,833
229,143,726,1094,833
230,141,750,1094,833
231,136,761,1094,833
232,137,761,1094,833
233,137,761,1094,833
234,136,760,1094,833
235,136,760,1094,833
236,136,761,1094,833
237,136,761,1094,833
238,136,761,1094,833
239,136,760,1094,833
240,136,761,1094,833
241,136,761,1094,833
242,136,761,1094,833
243,136,761,1094,833
244,136,761,1094,833
245,136,761,1094,833
246,136,761,1094,833
247,136,761,1094,833
248,136,759,1094,833
249,136,760,1094,833
250,136,760,1094,833
251,136,761,1094,833
252,136,760,1094,833
253,136,760,1094,833
254,136,761,1094,833
255,136,762,1094,833
256,136,762,1094,833
257,136,762,1094,833
258,136,762,1094,833
259,136,762,1094,833
260,136,761,1094,833
261,138,758,1094,833
262,138,758,1094,833
263,138,758,1094,833
264,138,759,1094,833
265,138,759,1094,833
266,138,758,1094,833
267,140,747,1094,833
268,142,724,1094,833
269,147,717,1094,833
270,142,704,1094,833
271,140,731,1094,833
272,134,721,1094,833
273,135,749,1094,833
274,135,715,1094,833
275,134,737,1094,833
276,135,705,1094,833
277,138,705,1094,833
278,141,674,1094,833
279,143,679,1094,833
280,143,685,1094,833
281,144,690,1094,833
282,144,695,1094,833
283,145,700,1094,833
284,145,704,1094,833
285,143,693,1094,833
286,139,674,1094,833
287,139,673,1094,833
288,142,685,1094,833
289,145,701,1094,833
290,145,697,1094,833
291,145,697,1094,833
292,145,700,1094,833
293,146,706,1094,833
294,146,708,1094,833
295,146,709,1094,833
296,146,708,1094,833
297,145,706,1094,833
298,145,705,1094,833
299,146,710,1094,833
300,143,727,1094,833
301,140,743,1094,833
302,137,755,1094,833
303,137,758,1094,833
304,136,760,1094,833
305,141,758,1094,833
306,140,728,1094,833
307,140,726,1094,833
308,135,730,1094,833
309,136,760,1094,833
310,136,762,1094,833
311,136,762,1094,833
312,136,762,1094,833
313,136,762,1094,833
314,137,763,1094,833
315,137,763,1094,833
316,137,761,1094,833
317,140,747,1094,833
318,140,748,1094,833
319,143,735,1094,833
320,143,737,1094,833
321,144,732,1094,833
322,141,747,1094,833
323,137,757,1094,833
324,137,761,1094,833
325,137,759,1094,833
326,136,735,1094,833
327,136,739,1094,833
328,139,725,1094,833
329,143,735,1094,833
330,146,714,1094,833
331,143,730,1094,833
332,142,726,1094,833
333,141,723,1094,833
334,141,723,1094,833
335,139,743,1094,833
336,138,735,1094,833
337,140,704,1094,833
338,141,674,1094,833
339,139,666,1094,833
340,138,697,1094,833
341,137,727,1094,833
342,138,765,1094,833
343,138,763,1094,833
344,138,763,1094,833
345,138,764,1094,833
346,138,764,1094,833
347,138,764,1094,833
348,137,735,1094,833
349,137,740,1094,833
350,136,741,1094,833
351,136,738,1094,833
352,136,737,1094,833
353,136,737,1094,833
354,136,736,1094,833
355,587,580,1094,833
356,1043,430,1094,833
357,1507,316,1094,833
358,1526,324,1094,833
359,1543,334,1094,833
360,1562,337,1094,833
361,1581,343,1094,833
362,1599,348,1094,833
363,1607,362,1094,833
364,1609,373,1094,833
365,1608,377,1094,833
366,1606,380,1094,833
367,1603,382,1094,833
368,1587,383,1094,833
369,1563,384,1094,833
370,1532,388,1094,833
371,1507,393,1094,833
372,1488,397,1094,833
373,1473,397,1094,833
374,1461,395,1094,833
375,1450,392,1094,833
376,1438,389,1094,833
377,1424,387,1094,833
378,1408,378,1094,833
379,1395,365,1094,833
380,1392,350,1094,833
381,1394,343,1094,833
382,1411,344,1094,833
383,1433,353,1094,833
384,1461,363,1094,833
385,1483,373,1094,833
386,1497,384,1094,833
387,1512,394,1094,833
388,1525,401,1094,833
389,1539,405,1094,833
390,1548,403,1094,833
391,1549,400,1094,833
392,1546,388,1094,833
393,1532,378,1094,833
394,1514,368,1094,833
395,1490,366,1094,833
396,1466,363,1094,833
397,1446,358,1094,833
398,1432,353,1094,833
399,1420,348,1094,833
400,1409,343,1094,833
401,1398,338,1094,833
402,1387,337,1094,833
403,1377,338,1094,833
404,1372,344,1094,833
405,1379,351,1094,833
406,1395,360,1094,833
407,1414,367,1094,833
408,1432,374,1094,833
409,1447,380,1094,833
410,1465,385,1094,833
411,1486,388,1094,833
412,1507,389,1094,833
413,1521,389,1094,833
414,1531,389,1094,833
415,1537,388,1094,833
416,1542,386,1094,833
417,1534,386,1094,833
418,1514,386,1094,833
419,1482,388,1094,833
420,1448,391,1094,833
421,1418,392,1094,833
422,1394,393,1094,833
423,1373,393,1094,833
424,1335,392,1094,833
425,1277,405,1094,833
426,1203,429,1094,833
427,1137,461,1094,833
428,1083,483,1094,833
429,1037,499,1094,833
430,999,511,1094,833
431,966,522,1094,833
432,937,530,1094,833
433,913,536,1094,833
434,888,540,1094,833
435,865,545,1094,833
436,841,553,1094,833
437,823,563,1094,833
438,814,575,1094,833
439,818,587,1094,833
440,832,600,1094,833
441,850,612,1094,833
442,867,621,1094,833
443,880,628,1094,833
444,891,633,1094,833
445,901,638,1094,833
446,910,642,1094,833
447,919,645,1094,833
448,933,647,1094,833
449,951,648,1094,833
450,975,649,1094,833
451,999,650,1094,833
452,1028,648,1094,833
453,1060,644,1094,833
454,1093,638,1094,833
455,1124,631,1094,833
456,1150,625,1094,833
457,1174,619,1094,833
458,1195,614,1094,833
459,1214,610,1094,833
460,1237,604,1094,833
461,1268,598,1094,833
462,1306,591,1094,833
463,1343,585,1094,833
