FrameIndex,Fish0_x,Fish0_y,Fish1_x,Fish1_y
0,111,556,704,803
1,111,556,705,806
2,99,300,713,809
3,99,300,725,811
4,99,300,732,812
5,99,300,732,812
6,99,300,735,811
7,99,300,739,797
8,99,300,756,781
9,102,316,774,771
10,102,325,799,763
11,102,325,821,758
12,102,325,838,756
13,102,325,846,755
14,102,325,876,742
15,102,325,881,730
16,102,325,882,729
17,101,318,902,725
18,101,318,963,725
19,101,318,1051,727
20,101,318,1111,727
21,102,324,1156,723
22,102,325,1191,716
23,102,325,1238,716
24,102,325,1268,720
25,102,325,1286,741
26,102,325,1291,756
27,102,325,1299,759
28,102,325,1299,762
29,102,325,1266,792
30,102,323,1206,792
31,101,321,1146,786
32,101,321,1107,784
33,101,321,1067,784
34,100,318,1041,799
35,100,321,1027,826
36,100,318,1027,838
37,100,317,1031,838
38,100,317,1094,833
39,100,317,1094,833
40,100,315,1094,833
41,100,315,1094,833
42,100,316,1094,833
43,100,316,1094,833
44,100,312,1094,833
45,99,311,1094,833
46,99,311,1094,833
47,99,311,1094,833
48,98,307,1094,833
49,98,307,1094,833
50,98,307,1094,833
51,103,333,1094,833
52,104,340,1094,833
53,104,340,1094,833
54,103,340,1094,833
55,103,339,1094,833
56,103,339,1094,833
57,102,336,1094,833
58,102,336,1094,833
59,103,348,1094,833
60,103,348,1094,833
61,99,327,1094,833
62,99,320,1094,833
63,99,320,1094,833
64,99,321,1094,833
65,99,322,1094,833
66,99,322,1094,833
67,99,324,1094,833
68,98,321,1094,833
69,99,322,1094,833
70,98,322,1094,833
71,99,322,1094,833
72,99,324,1094,833
73,99,329,1094,833
74,99,331,1094,833
75,99,331,1094,833
76,99,330,1094,833
77,99,329,1094,833
78,99,329,1094,833
79,99,329,1094,833
80,99,329,1094,833
81,99,329,1094,833
82,99,329,1094,833
83,99,329,1094,833
84,99,328,1094,833
85,99,326,1094,833
86,99,323,1094,833
87,99,323,1094,833
88,99,332,1094,833
89,100,332,1094,833
90,100,332,1094,833
91,100,332,1094,833
92,100,329,1094,833
93,100,330,1094,833
94,100,330,1094,833
95,100,330,1094,833
96,100,330,1094,833
97,100,331,1094,833
98,102,338,1094,833
99,102,338,1094,833
100,99,321,1094,833
101,99,321,1094,833
102,99,322,1094,833
103,99,322,1094,833
104,99,322,1094,833
105,99,323,1094,833
106,99,323,1094,833
107,99,324,1094,833
108,99,323,1094,833
109,99,324,1094,833
110,99,324,1094,833
111,99,325,1094,833
112,99,325,1094,833
113,99,325,1094,833
114,99,330,1094,833
115,99,330,1094,833
116,99,330,1094,833
117,99,331,1094,833
118,99,331,1094,833
119,99,330,1094,833
120,98,329,1094,833
121,98,329,1094,833
122,98,329,1094,833
123,96,326,1094,833
124,96,326,1094,833
125,96,326,1094,833
126,98,324,1094,833
127,98,321,1094,833
128,98,321,1094,833
129,98,321,1094,833
130,98,321,1094,833
131,98,321,1094,833
132,98,320,1094,833
133,98,320,1094,833
134,98,320,1094,833
135,97,327,1094,833
136,97,327,1094,833
137,97,327,1094,833
138,97,327,1094,833
139,97,327,1094,833
140,97,327,1094,833
141,97,327,1094,833
142,96,325,1094,833
143,96,325,1094,833
144,97,324,1094,833
145,97,323,1094,833
146,97,323,1094,833
147,97,324,1094,833
148,97,324,1094,833
149,97,324,1094,833
150,98,318,1094,833
151,98,313,1094,833
152,98,317,1094,833
153,98,317,1094,833
154,98,319,1094,833
155,98,330,1094,833
156,97,319,1094,833
157,98,320,1094,833
158,97,319,1094,833
159,97,319,1094,833
160,95,319,1094,833
161,95,321,1094,833
162,95,321,1094,833
163,96,321,1094,833
164,99,327,1094,833
165,100,327,1094,833
166,104,367,1094,833
167,100,319,1094,833
168,99,316,1094,833
169,99,315,1094,833
170,99,315,1094,833
171,99,315,1094,833
172,99,316,1094,833
173,99,315,1094,833
174,99,316,1094,833
175,98,314,1094,833
176,98,315,1094,833
177,98,315,1094,833
178,98,315,1094,833
179,98,315,1094,833
180,98,316,1094,833
181,98,316,1094,833
182,98,317,1094,833
183,98,316,1094,833
184,98,317,1094,833
185,98,317,1094,833
186,98,318,1094,833
187,98,318,1094,833
188,98,319,1094,833
189,98,319,1094,833
190,98,317,1094,833
191,98,317,1094,833
