VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,bite,12923,12944,0,1123.03,23.53,44.93,2.0,9.22,54.33,72.17,470.59,898.56,-427.97,92,28,632,-18,0.67,178.85,1.81,61.98
1-14,bite,6620,6638,0,722.14,8.43,18.65,4.12,4.12,35.36,40.5,143.28,316.97,-173.69,106,48,-55,117,0.61,167.9,1.98,70.77
1-14,bite,12618,12674,0,655.81,12.42,20.54,1.0,1.0,32.28,151.65,682.88,1129.88,-447.0,166,-16,-288,39,0.46,175.64,0.0,88.85
1-14,bite,12078,12129,0,609.62,18.4,17.2,5.39,2.24,50.12,79.12,920.24,860.01,60.23,-139,104,-7,-7,0.33,180.0,3.8,110.33
1-14,bite,12002,12013,0,557.21,17.47,25.98,10.77,8.94,32.28,46.49,174.66,259.8,-85.14,122,44,-197,50,0.27,168.01,12.07,104.27
1-14,bite,3031,3045,0,506.71,9.33,17.33,2.0,2.24,17.46,40.5,121.31,225.24,-103.93,47,-41,-160,64,0.36,172.18,19.98,104.54
1-14,bite,11593,11635,0,295.75,21.48,24.38,1.0,2.24,71.0,74.97,880.71,999.71,-119.0,287,-10,456,3,0.55,177.86,0.81,87.83
1-14,bite,1421,1450,0,595.68,41.63,48.31,4.24,1.41,89.27,101.83,1165.53,1352.76,-187.23,-1146,9,-1256,-45,0.69,178.19,0.0,45.3
1-14,bite,26035,26062,0,883.54,15.03,31.69,5.0,8.6,28.16,130.86,390.7,823.94,-433.24,308,17,-43,-296,0.44,168.7,31.43,104.24
1-14,bite,1355,1366,0,890.95,69.55,41.44,6.08,11.18,104.17,82.49,695.5,414.37,281.13,-682,1,-102,-16,0.36,176.11,0.0,90.6
1-14,bite,26413,26436,0,1133.15,12.77,30.84,2.0,7.81,33.14,55.17,280.84,678.38,-397.54,56,-27,-584,-77,0.61,159.23,1.4,74.02
1-14,bite,26452,26512,0,699.43,20.67,23.35,5.0,2.83,53.15,64.12,1219.62,1377.69,-158.07,-153,-50,44,200,0.42,180.0,0.0,99.1
1-14,chase,1367,1380,1,588.26,41.5,30.95,4.12,2.24,64.33,62.03,498.01,371.43,126.58,449,-76,200,-10,0.46,178.19,5.73,98.11
1-14,chase,7775,7795,1,683.96,32.88,26.84,3.16,12.17,59.14,50.04,624.63,509.95,114.68,-622,-5,-507,44,1.0,31.33,1.81,11.85
1-14,chase,9284,9304,1,415.28,43.04,27.69,12.53,9.22,98.62,44.15,817.79,526.2,291.59,-726,89,-486,164,0.85,105.75,0.0,29.2
