VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,bite,3211,3233,0,376.72,16.1,13.42,4.47,5.0,54.59,21.26,338.01,281.91,56.1,-223,153,-163,106,0.86,137.49,5.13,56.05
1-14,bite,3464,3470,0,11.83,11.44,12.4,8.94,8.94,13.6,17.03,57.21,62.02,-4.81,-29,9,-42,39,0.67,131.22,3.14,45.61
1-14,bite,3749,3782,0,403.25,33.67,31.98,2.0,5.39,61.03,60.02,1077.5,1023.34,54.16,-1041,19,-902,-12,0.79,169.7,0.0,36.92
1-14,bite,3903,3930,0,446.96,38.21,37.56,5.39,11.18,68.68,83.01,993.53,976.5,17.03,725,234,883,187,0.89,167.99,1.4,36.58
1-14,bite,15816,15846,0,252.23,17.99,21.12,2.0,1.41,39.92,68.36,521.82,612.36,-90.54,103,-42,96,-172,0.63,180.0,1.62,77.42
1-14,bite,4139,4176,0,574.68,14.8,13.28,2.24,2.0,34.71,35.78,532.73,478.18,54.55,77,52,16,-10,0.46,176.2,1.62,90.75
1-14,bite,13430,13498,0,794.42,17.06,19.22,3.16,5.1,43.42,76.54,1143.12,1287.94,-144.82,338,-40,159,84,0.69,167.58,0.0,59.89
1-14,bite,13337,13368,0,727.31,21.19,13.2,6.4,1.0,58.94,48.76,635.71,396.13,239.58,149,-16,-138,94,0.61,157.55,2.69,62.51
1-14,bite,12923,12944,0,1123.03,23.53,44.93,2.0,9.22,54.33,72.17,470.59,898.56,-427.97,92,28,632,-18,0.67,178.85,1.81,61.98
1-14,bite,6620,6638,0,722.14,8.43,18.65,4.12,4.12,35.36,40.5,143.28,316.97,-173.69,106,48,-55,117,0.61,167.9,1.98,70.77
1-14,bite,12618,12674,0,655.81,12.42,20.54,1.0,1.0,32.28,151.65,682.88,1129.88,-447.0,166,-16,-288,39,0.46,175.64,0.0,88.85
1-14,bite,12078,12129,0,609.62,18.4,17.2,5.39,2.24,50.12,79.12,920.24,860.01,60.23,-139,104,-7,-7,0.33,180.0,3.8,110.33
1-14,bite,12002,12013,0,557.21,17.47,25.98,10.77,8.94,32.28,46.49,174.66,259.8,-85.14,122,44,-197,50,0.27,168.01,12.07,104.27
