VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,bite,3211,3233,0,362.71,16.39,13.43,5.0,5.0,39.81,22.2,344.12,281.99,62.13,-221,142,-163,109,0.86,167.69,4.86,58.35
1-14,bite,3464,3470,0,14.76,8.21,12.51,2.0,10.2,13.6,15.81,41.04,62.55,-21.51,-29,12,-42,39,0.17,126.03,0.0,47.11
1-14,bite,3749,3782,0,397.96,33.65,31.8,3.0,3.0,59.01,60.21,1076.76,1017.73,59.03,-1037,20,-909,-13,0.82,172.57,0.0,36.28
1-14,bite,3903,3930,0,485.05,37.6,36.69,5.1,12.08,68.68,85.15,977.69,953.9,23.79,733,234,904,189,0.78,170.33,0.0,42.45
1-14,bite,15816,15846,0,255.48,17.88,22.62,1.0,3.16,43.42,45.18,518.54,656.06,-137.52,107,-43,88,-168,0.27,180.0,0.0,64.8
1-14,bite,4139,4176,0,587.31,14.9,13.91,1.0,2.24,36.06,40.25,536.58,500.82,35.76,70,52,18,-9,0.35,171.08,0.0,77.83
1-14,bite,13430,13498,0,787.21,17.13,19.91,3.61,5.39,38.12,75.29,1147.74,1334.09,-186.35,338,-40,155,83,0.59,178.6,0.0,58.2
1-14,bite,13337,13368,0,722.14,20.93,13.1,2.24,1.0,46.53,42.49,627.83,393.04,234.79,149,-17,-140,94,0.55,155.84,0.0,58.97
1-14,bite,12923,12944,0,1115.86,23.94,44.52,2.24,7.07,61.52,72.17,478.75,890.39,-411.64,97,30,626,-19,0.67,172.84,1.81,62.33
1-14,bite,6620,6638,0,708.77,9.41,18.1,3.16,6.32,28.07,40.85,159.97,307.73,-147.76,98,49,-49,116,0.56,171.38,0.0,66.82
1-14,bite,12618,12674,0,651.33,12.46,20.35,1.41,2.83,35.74,123.69,685.07,1119.31,-434.24,164,-16,-282,39,0.48,175.87,0.0,83.03
1-14,bite,12078,12129,0,606.86,18.34,16.95,3.16,1.0,48.84,65.79,916.75,847.36,69.39,-129,103,-13,-8,0.41,180.0,4.8,107.33
1-14,bite,12002,12013,0,555.14,17.84,25.92,11.18,8.06,39.56,43.01,178.39,259.15,-80.76,125,42,-199,51,0.18,170.47,0.0,104.69
1-14,bite,3031,3045,0,507.56,9.49,17.27,2.0,2.0,16.03,39.45,123.32,224.51,-101.19,49,-40,-161,65,0.43,178.6,50.91,110.98
1-14,bite,11593,11635,0,286.31,21.6,24.17,2.83,2.83,60.0,68.18,885.65,990.93,-105.28,293,-10,449,4,0.36,177.31,0.0,90.45
1-14,bite,1421,1450,0,596.01,41.72,48.22,4.12,2.24,82.22,94.37,1168.06,1350.15,-182.09,-1139,7,-1251,-42,0.72,162.86,0.0,43.97
1-14,bite,26035,26062,0,882.84,15.04,31.19,4.47,6.71,28.28,110.15,390.92,810.87,-419.95,309,17,-43,-296,0.44,167.03,36.87,102.73
1-14,bite,1355,1366,0,882.03,70.1,41.98,14.0,11.7,109.04,81.74,701.01,419.82,281.19,-692,6,-95,-13,0.45,178.38,0.81,90.42
1-14,bite,26413,26436,0,1135.59,12.71,31.02,3.0,9.06,40.22,58.73,279.63,682.54,-402.91,60,-27,-579,-75,0.7,175.64,2.69,73.77
1-14,bite,26452,26512,0,696.85,20.69,23.02,4.0,2.0,52.39,64.03,1220.65,1358.38,-137.73,-154,-51,46,196,0.48,177.31,0.0,99.3
1-14,chase,4768,4835,1,565.19,17.45,16.36,2.0,1.41,39.85,55.73,1151.94,1079.64,72.3,93,-34,82,17,0.48,179.19,1.15,88.79
1-14,chase,13539,13554,1,271.16,27.49,34.16,6.08,7.07,42.58,64.4,384.87,478.26,-93.39,195,147,352,144,0.87,129.07,1.4,37.87
1-14,chase,4606,4628,1,351.11,19.61,17.89,5.0,6.71,40.45,29.43,411.87,375.76,36.11,-10,18,122,103,0.41,173.93,0.0,72.41
1-14,chase,5072,5090,1,816.88,24.3,22.49,8.0,1.0,55.0,42.0,413.18,382.41,30.77,-370,-72,-323,-54,0.78,143.81,10.86,64.91
1-14,chase,4836,4908,1,582.21,20.74,18.11,2.24,1.41,57.01,36.22,1472.39,1285.63,186.76,-1197,-16,-1152,-3,0.78,180.0,1.4,54.67
1-14,chase,21669,21693,1,1216.39,41.04,24.77,25.08,7.07,56.22,49.16,943.87,569.63,374.24,-940,-39,-331,-11,0.58,178.02,0.0,51.47
1-14,chase,5207,5230,1,811.85,33.38,22.42,3.16,2.24,96.52,46.01,734.34,493.34,241.0,489,-205,-32,-139,0.7,179.19,1.15,65.67
1-14,chase,5291,5369,1,623.4,24.7,23.85,2.24,5.0,67.54,72.18,1902.17,1836.37,65.8,-493,499,-718,399,0.63,176.86,2.92,70.27
1-14,chase,1367,1380,1,582.25,40.53,31.29,7.0,2.24,61.81,58.08,486.34,375.49,110.85,444,-79,202,-7,0.46,178.38,0.0,91.53
1-14,chase,7775,7795,1,686.57,32.76,26.79,3.61,11.4,58.14,51.04,622.46,508.92,113.54,-620,-5,-506,44,0.95,40.54,0.0,11.21
1-14,chase,9284,9304,1,415.86,42.58,27.41,10.3,8.6,89.69,45.35,809.07,520.75,288.32,-721,90,-482,165,0.8,107.47,0.0,27.74
1-14,chase,537,556,1,827.34,29.08,23.74,1.0,3.16,62.03,46.17,523.37,427.29,96.08,-479,151,40,-31,0.68,180.0,1.15,65.55
1-14,chase,5159,5172,1,699.41,21.65,13.97,10.63,5.66,32.39,24.33,259.76,167.6,92.16,-189,-75,138,-63,0.31,150.88,72.1,115.45
1-14,chase,13954,13976,1,557.18,41.98,45.51,2.0,14.32,110.37,74.03,881.5,955.67,-74.17,-864,-9,-952,33,0.91,158.2,0.81,27.25
1-14,chase,3260,3269,1,149.01,12.44,7.93,1.0,3.16,29.12,19.1,99.56,63.42,36.14,71,-12,51,24,0.33,164.91,71.57,109.21
1-14,chase,3079,3141,1,774.63,16.62,19.05,2.83,4.47,40.31,48.84,1013.75,1162.18,-148.43,-359,62,-15,21,0.44,178.02,7.11,93.92
1-14,chase,4447,4481,1,1138.84,24.78,32.73,1.41,10.82,63.35,84.39,817.68,1080.17,-262.49,611,30,600,-11,0.5,180.0,0.0,87.08
1-14,chase,3690,3748,1,588.61,26.95,28.73,2.24,2.83,80.72,63.95,1536.03,1637.76,-101.73,943,9,940,239,0.74,179.19,0.0,60.2
1-14,chase,2117,2145,1,1190.26,39.92,25.54,6.32,9.49,71.78,68.03,1077.83,689.71,388.12,704,-41,468,194,0.57,171.97,2.29,73.68
1-14,chase,2519,2555,1,364.74,23.23,22.48,1.0,2.0,43.42,120.07,812.95,786.84,26.11,389,-19,316,-1,0.36,180.0,0.0,104.81
1-14,chase,1959,2086,1,1311.92,28.64,32.34,1.0,1.0,73.5,118.6,3609.09,4075.2,-466.11,-876,-82,-1391,-22,0.66,178.02,0.0,67.02
1-14,chase,3957,3998,1,378.3,18.24,18.88,4.0,3.61,47.54,46.32,729.6,755.14,-25.54,-37,-240,148,-136,0.78,173.77,10.39,59.29
1-14,chase,4011,4028,1,512.07,23.52,23.74,5.66,0.0,40.26,39.62,376.34,379.84,-3.5,336,153,228,-2,0.65,178.85,0.0,69.56
1-14,chase,1683,1832,1,1143.92,28.66,33.63,5.1,1.41,102.88,86.83,4242.41,4977.6,-735.19,-784,24,-1187,31,0.73,178.02,0.0,57.86
1-14,chase,15136,15162,1,553.97,27.15,19.16,14.87,5.83,39.22,39.2,678.66,479.01,199.65,-667,31,-383,24,0.88,157.67,4.05,33.71
1-14,chase,2562,2604,1,253.99,28.18,25.32,2.0,4.24,80.16,65.28,1155.29,1038.03,117.26,263,-176,242,-177,0.52,178.19,0.0,51.77
1-14,normal,25055,25100,3,6121.3,15.12,13.31,2.0,1.0,33.24,31.06,665.15,585.64,79.51,623,-149,-445,167,0.18,178.02,67.16,137.62
1-14,normal,2089,2116,3,699.84,24.46,11.23,7.07,2.0,44.38,29.07,635.96,292.1,343.86,-44,186,147,-39,0.48,178.85,7.56,86.8
1-14,normal,2605,2644,3,586.91,11.82,17.63,1.41,3.61,34.99,55.58,449.22,669.96,-220.74,-2,-155,-214,-120,0.56,164.97,1.81,88.15
1-14,normal,25736,25776,3,2932.99,21.82,15.04,9.22,3.16,45.69,32.14,850.84,586.38,264.46,245,219,523,190,0.55,177.57,9.25,75.51
1-14,normal,2177,2221,3,853.79,25.16,15.89,3.61,3.61,58.01,30.0,1081.79,683.35,398.44,-497,-240,-373,-154,0.59,179.19,14.78,89.38
1-14,normal,10223,10275,3,1068.4,10.25,13.89,2.24,4.0,18.11,35.13,522.9,708.51,-185.61,5,9,126,-328,0.17,180.0,6.54,124.08
1-14,normal,1381,1388,3,982.85,32.35,46.56,15.03,20.02,59.01,66.89,194.13,279.35,-85.22,194,-5,-138,196,0.29,149.42,6.69,92.19
1-14,normal,1178,1354,3,2228.72,40.87,41.44,0.0,0.0,111.54,290.39,7152.31,7251.98,-99.67,-407,51,-705,11,0.28,180.0,0.0,108.04
1-14,normal,27616,27670,3,2952.51,21.04,9.32,6.71,1.0,39.22,47.38,1115.09,494.04,621.05,-576,220,349,116,0.33,153.43,2.43,94.18
1-14,normal,27911,27957,3,4818.08,7.14,22.17,2.24,5.39,19.03,40.11,321.13,997.49,-676.36,131,98,-447,-8,0.43,180.0,1.98,103.1
1-14,normal,24505,24537,3,1008.95,11.86,15.87,4.47,3.16,21.21,45.89,367.51,492.08,-124.57,-23,-66,-318,55,0.22,179.19,8.74,134.01
1-14,normal,1130,1165,3,3238.98,38.53,44.59,0.0,12.37,121.17,220.06,1310.18,1516.2,-206.02,985,70,-10,109,0.29,180.0,0.0,101.35
1-14,normal,584,690,3,621.98,16.27,19.12,0.0,1.41,52.09,84.01,1707.98,2008.11,-300.13,-93,-93,-122,-180,0.56,180.0,0.0,74.04
1-14,normal,1645,1682,3,800.46,22.89,37.01,7.21,2.83,65.15,95.04,824.09,1332.45,-508.36,648,-277,888,-294,0.76,178.02,3.44,62.23
