VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,bite,12923,12944,0,1127.94,23.41,45.32,0.0,1.41,64.0,83.0,468.24,906.3,-438.06,93,30,626,-20,0.71,180.0,0.81,63.15
1-14,bite,6620,6638,0,710.76,9.53,18.13,2.0,2.0,50.0,46.62,162.0,308.13,-146.13,102,48,-50,115,0.72,168.7,1.4,68.54
1-14,bite,12618,12674,0,676.33,12.92,21.15,0.0,0.0,56.04,254.25,710.8,1163.04,-452.24,165,-14,-291,39,0.5,176.97,0.0,72.08
1-14,bite,12078,12129,0,608.71,19.15,17.85,0.0,0.0,69.46,113.51,957.3,892.64,64.66,-122,115,7,-13,0.35,180.0,6.64,108.92
1-14,bite,12002,12013,0,558.42,16.71,27.3,1.0,0.0,41.01,78.11,167.15,273.0,-105.85,114,51,-207,45,0.18,162.73,0.0,100.65
1-14,bite,3031,3045,0,512.44,9.96,17.61,1.0,0.0,31.06,46.32,129.48,228.96,-99.48,49,-42,-164,64,0.07,176.2,0.0,104.44
1-14,bite,11593,11635,0,316.39,22.19,27.04,0.0,0.0,113.0,116.16,909.99,1108.73,-198.74,285,-8,452,3,0.33,180.0,0.0,85.49
1-14,bite,1421,1450,0,591.85,41.64,48.9,4.0,1.41,109.55,120.31,1165.99,1369.17,-203.18,-1149,8,-1251,-42,0.72,162.77,0.0,41.07
1-14,bite,26035,26062,0,895.47,15.22,32.36,2.0,5.0,29.07,209.2,395.6,841.44,-445.84,308,19,-42,-293,0.3,177.44,38.02,108.1
1-14,bite,1355,1366,0,909.39,69.59,43.33,0.0,0.0,157.11,123.07,695.9,433.28,262.62,-694,-10,-103,-21,0.27,179.19,0.0,83.58
1-14,bite,26413,26436,0,1147.2,11.1,30.85,0.0,0.0,40.2,76.58,244.28,678.74,-434.46,61,-26,-580,-75,0.61,167.42,1.15,71.14
1-14,bite,26452,26512,0,699.82,22.07,23.44,0.0,0.0,71.18,87.64,1302.06,1383.02,-80.96,-143,-64,44,199,0.35,174.94,0.0,96.2
1-14,chase,1367,1380,1,583.03,41.09,32.65,0.0,0.0,76.01,72.0,493.07,391.82,101.25,446,-82,206,-11,0.31,175.14,0.0,87.67
1-14,chase,7775,7795,1,682.13,33.15,27.01,1.0,9.49,65.19,57.0,629.87,513.16,116.71,-626,-5,-510,44,1.0,41.63,1.15,11.69
1-14,chase,9284,9304,1,426.78,44.58,28.71,9.0,9.0,133.7,49.24,847.1,545.53,301.57,-732,89,-491,164,0.65,118.42,0.0,31.85
1-14,chase,537,556,1,829.82,28.27,24.37,0.0,2.0,69.64,49.25,508.83,438.74,70.09,-473,140,39,-34,0.63,180.0,1.62,71.6
1-14,chase,5159,5172,1,703.68,21.03,14.07,6.71,4.47,36.5,29.27,252.37,168.82,83.55,-185,-75,139,-63,0.31,152.3,74.72,114.22
1-14,chase,13954,13976,1,586.91,41.84,45.64,0.0,8.25,299.74,81.02,878.73,958.47,-79.74,-859,-9,-954,33,0.73,160.34,0.0,36.08
1-14,chase,3260,3269,1,125.81,12.53,10.01,0.0,2.83,82.28,49.16,100.26,80.09,20.17,71,-11,66,25,0.11,116.56,68.2,94.85
1-14,chase,3079,3141,1,777.46,16.52,19.53,0.0,0.0,98.06,74.2,1007.71,1191.15,-183.44,-352,57,-16,22,0.42,180.0,0.0,92.15
1-14,chase,4447,4481,1,1144.79,25.27,33.41,0.0,0.0,71.45,179.57,833.89,1102.61,-268.72,613,30,598,-10,0.44,168.1,0.0,81.05
1-14,chase,3690,3748,1,588.42,27.1,29.25,0.0,0.0,95.46,68.88,1544.73,1667.15,-122.42,945,9,943,233,0.71,174.44,0.0,60.73
1-14,chase,2117,2145,1,1189.08,39.6,25.26,7.62,8.54,89.54,78.31,1069.28,681.95,387.33,734,-47,453,193,0.57,178.02,0.0,73.47
1-14,chase,2519,2555,1,495.98,22.53,20.4,0.0,0.0,63.03,71.02,788.53,714.13,74.4,451,-24,254,4,0.28,178.19,0.0,104.88
1-14,chase,1959,2086,1,1329.51,29.12,32.97,0.0,0.0,111.57,163.51,3668.7,4154.13,-485.43,-882,-72,-1385,-25,0.65,180.0,0.0,69.91
1-14,chase,3957,3998,1,385.32,17.81,19.26,0.0,2.83,52.0,55.01,712.24,770.45,-58.21,-36,-240,151,-135,0.78,139.76,7.43,56.78
1-14,chase,4011,4028,1,504.62,23.76,24.77,3.0,0.0,57.22,54.23,380.12,396.38,-16.26,336,153,230,-4,0.59,162.23,0.0,67.08
1-14,chase,1683,1832,1,1156.57,29.0,33.98,1.0,0.0,120.83,105.34,4292.7,5029.66,-736.96,-787,23,-1186,33,0.7,180.0,0.0,57.31
1-14,chase,15136,15162,1,561.78,27.42,18.97,0.0,3.61,57.58,48.26,685.61,474.36,211.25,-674,26,-386,28,0.85,123.72,5.44,33.39
1-14,chase,2562,2604,1,271.64,28.3,25.44,1.0,0.0,126.0,110.22,1160.39,1043.04,117.35,287,-174,225,-181,0.43,180.0,0.0,57.7
1-14,display,27096,27150,2,1790.75,8.7,14.13,0.0,1.0,31.02,81.04,461.27,748.67,-287.4,247,1,-210,-13,0.24,180.0,0.0,115.98
1-14,display,11520,11562,2,1153.56,15.37,11.64,5.39,0.0,40.0,32.06,630.25,477.12,153.13,-61,-42,338,-28,0.14,180.0,40.45,138.17
