VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,bite,12923,12944,0,1129.01,28.44,46.04,2.0,9.06,94.0,83.01,568.8,920.76,-351.96,93,30,626,-20,0.76,166.22,0.81,55.9
1-14,bite,6620,6638,0,705.23,11.53,20.5,2.0,6.4,66.94,51.24,195.96,348.45,-152.49,123,48,-74,110,0.61,172.22,0.0,70.58
1-14,bite,12618,12674,0,676.79,16.14,24.81,0.0,0.0,57.31,254.25,887.73,1364.28,-476.55,167,-14,-291,35,0.5,179.19,0.0,66.24
1-14,bite,12078,12129,0,611.83,20.25,18.79,1.0,1.0,69.46,113.51,1012.68,939.62,73.06,-158,115,7,-13,0.33,178.6,0.0,109.45
1-14,bite,12002,12013,0,558.87,17.26,30.03,1.0,1.0,42.2,78.11,172.59,300.33,-127.74,114,51,-181,43,0.18,175.07,0.0,83.79
1-14,bite,3031,3045,0,509.59,11.53,19.36,3.0,5.1,37.16,46.32,149.83,251.64,-101.81,49,-42,-159,63,0.36,175.71,12.01,106.31
1-14,bite,11593,11635,0,316.32,26.69,29.6,0.0,0.0,113.02,116.16,1094.48,1213.68,-119.2,285,-6,460,-3,0.29,179.19,0.0,74.37
1-14,bite,1421,1450,0,596.78,41.88,49.24,4.12,1.41,109.55,120.31,1172.58,1378.66,-206.08,-1151,12,-1251,-41,0.79,147.5,1.15,44.83
1-14,bite,26035,26062,0,899.91,15.44,34.52,2.83,6.71,29.07,209.2,401.39,897.46,-496.07,308,19,-42,-293,0.33,166.66,29.47,106.1
1-14,bite,1355,1366,0,909.22,82.9,48.66,14.14,6.08,158.15,134.73,828.97,486.57,342.4,-656,-10,-126,-21,0.36,173.12,0.0,96.72
1-14,bite,26413,26436,0,1139.07,21.07,34.22,1.41,7.0,96.69,76.58,463.46,752.74,-289.28,46,-26,-580,-75,0.57,171.46,0.0,75.39
1-14,bite,26452,26512,0,704.85,24.7,25.84,5.0,2.24,75.39,87.64,1457.25,1524.75,-67.5,-158,-64,37,199,0.43,174.04,0.0,95.18
1-14,chase,1367,1380,1,587.91,42.61,37.17,10.3,8.94,76.06,72.06,511.33,446.04,65.29,446,-82,206,-13,0.31,178.02,0.0,79.46
1-14,chase,7775,7795,1,682.05,33.25,27.01,1.0,9.49,65.19,57.0,631.7,513.19,118.51,-626,-5,-510,44,0.95,173.67,1.15,21.99
1-14,chase,9284,9304,1,427.36,44.76,30.52,9.49,17.0,133.7,52.35,850.43,579.97,270.46,-732,89,-491,164,0.65,150.61,0.0,34.73
1-14,chase,537,556,1,825.57,28.94,24.93,5.39,2.0,69.64,49.25,520.91,448.73,72.18,-473,140,38,-34,0.63,177.44,2.29,69.3
1-14,chase,5159,5172,1,703.4,21.46,14.1,6.71,4.47,36.5,29.43,257.53,169.17,88.36,-177,-75,139,-63,0.23,152.3,56.72,114.38
1-14,chase,13954,13976,1,586.22,42.0,45.67,0.0,8.25,299.74,81.02,881.93,959.07,-77.14,-860,-10,-954,33,0.82,174.38,3.14,35.2
1-14,chase,3260,3269,1,124.56,15.49,10.25,0.0,3.61,86.73,49.16,123.88,82.0,41.88,73,-11,68,25,0.22,124.99,0.0,69.3
1-14,chase,3079,3141,1,778.22,17.79,19.87,0.0,2.24,98.06,74.2,1085.13,1211.82,-126.69,-350,57,-16,22,0.47,180.0,1.81,91.57
1-14,chase,4447,4481,1,1155.72,26.41,36.41,1.0,5.39,71.45,229.87,871.48,1201.5,-330.02,613,30,598,-10,0.5,168.1,0.0,78.74
1-14,chase,3690,3748,1,589.32,27.22,29.8,1.0,1.0,95.46,68.88,1551.58,1698.44,-146.86,945,9,943,233,0.72,174.44,0.0,61.83
1-14,chase,2117,2145,1,1192.58,40.17,25.38,7.62,8.54,89.54,78.41,1084.46,685.32,399.14,734,-47,453,195,0.57,178.38,0.0,72.6
1-14,chase,2519,2555,1,501.46,25.43,25.6,4.47,4.47,88.02,71.02,889.88,896.13,-6.25,463,-23,245,4,0.36,178.02,0.0,96.75
1-14,chase,1959,2086,1,1325.37,31.13,33.96,1.0,1.0,111.57,173.08,3922.45,4278.75,-356.3,-883,-72,-1391,-25,0.65,178.02,0.0,67.73
1-14,chase,3957,3998,1,388.91,21.1,22.7,3.0,5.39,69.12,103.41,843.88,908.14,-64.26,-36,-241,151,-135,0.73,179.19,5.85,64.72
1-14,chase,4011,4028,1,502.29,24.3,27.74,4.47,3.0,58.05,63.69,388.77,443.82,-55.05,345,150,239,-7,0.65,168.78,0.0,60.36
1-14,chase,1683,1832,1,1157.88,29.17,34.74,3.61,0.0,120.83,105.34,4317.56,5142.09,-824.53,-787,23,-1201,33,0.71,179.19,0.81,59.47
