VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,bite,3211,3233,0,417.91,17.7,13.65,5.39,5.39,95.52,25.0,371.71,286.56,85.15,-224,175,-154,106,0.77,146.79,0.0,55.33
1-14,bite,3464,3470,0,0.0,18.44,13.75,5.1,5.1,36.07,24.08,92.18,68.76,23.42,-21,2,-42,40,0.17,117.69,0.0,20.48
1-14,bite,3749,3782,0,409.97,34.69,32.77,6.32,6.32,72.34,65.12,1110.11,1048.49,61.62,-1031,19,-898,-13,0.82,170.61,0.0,24.43
1-14,bite,3903,3930,0,405.63,39.96,44.29,0.0,10.77,117.96,194.26,1038.96,1151.48,-112.52,699,235,864,186,0.78,159.5,0.0,36.47
1-14,bite,15816,15846,0,274.25,26.32,29.51,0.0,1.41,103.94,148.97,763.28,855.91,-92.63,90,-35,118,-174,0.2,176.56,0.0,43.1
1-14,bite,4139,4176,0,599.23,23.32,19.06,3.0,2.0,60.88,55.47,839.53,686.31,153.22,106,65,18,-5,0.27,180.0,0.0,81.8
1-14,bite,13430,13498,0,795.83,18.95,22.11,5.0,2.24,78.01,127.58,1269.76,1481.41,-211.65,342,-35,174,92,0.57,175.14,0.0,44.36
1-14,bite,13337,13368,0,712.51,23.81,15.91,1.0,1.0,97.02,80.41,714.23,477.16,237.07,150,-17,-134,92,0.55,167.34,0.0,49.13
1-14,bite,12923,12944,0,1129.01,28.44,46.04,2.0,9.06,94.0,83.01,568.8,920.76,-351.96,93,30,626,-20,0.76,166.22,0.81,55.9
1-14,bite,6620,6638,0,705.23,11.53,20.5,2.0,6.4,66.94,51.24,195.96,348.45,-152.49,123,48,-74,110,0.61,172.22,0.0,70.58
