FrameIndex,Fish0_x,Fish0_y,Fish1_x,Fish1_y
1,419,618,1612,704
2,399,620,1322,895
3,399,620,1315,900
4,399,620,399,620
5,399,620,399,620
6,399,620,399,620
7,399,620,399,620
8,399,620,399,620
9,399,620,399,620
10,399,620,399,620
11,399,620,399,620
12,399,620,399,620
13,399,620,399,620
14,399,620,399,620
15,399,620,399,620
16,399,620,399,620
17,399,620,399,620
18,399,620,399,620
19,399,620,399,620
20,399,620,399,620
21,399,620,399,620
22,399,620,399,620
23,399,620,399,620
24,399,620,399,620
25,399,620,399,620
26,399,620,399,620
27,399,620,399,620
28,399,620,399,620
29,399,620,399,620
30,399,620,399,620
31,399,620,399,620
32,399,620,399,620
33,399,620,399,620
34,399,620,399,620
35,399,620,399,620
36,399,620,399,620
37,399,620,399,620
38,399,620,399,620
39,399,620,399,620
40,399,620,399,620
41,399,620,399,620
42,399,620,399,620
43,399,620,399,620
44,399,620,399,620
45,399,620,399,620
46,399,620,399,620
47,399,620,399,620
48,399,620,399,620
49,399,620,399,620
50,399,620,399,620
51,399,620,399,620
52,399,620,399,620
53,399,620,399,620
54,399,620,399,620
55,399,620,399,620
56,399,620,399,620
57,399,620,399,620
58,399,620,399,620
59,399,620,399,620
60,399,620,399,620
61,399,620,399,620
62,399,620,399,620
63,399,620,399,620
64,399,620,399,620
65,399,620,399,620
66,399,620,399,620
67,399,620,399,620
68,399,620,399,620
69,399,620,399,620
70,399,620,399,620
71,399,620,399,620
72,399,620,399,620
73,399,620,399,620
74,399,620,399,620
75,399,620,399,620
76,399,620,399,620
77,399,620,399,620
78,399,620,399,620
79,399,620,399,620
80,399,620,399,620
81,399,620,399,620
82,399,620,399,620
83,399,620,399,620
84,399,620,399,620
85,399,620,399,620
86,399,620,399,620
87,399,620,399,620
88,399,620,399,620
89,399,620,399,620
90,399,620,399,620
91,399,620,399,620
92,399,620,399,620
93,399,620,399,620
94,399,620,399,620
95,399,620,399,620
96,399,620,399,620
97,399,620,399,620
98,399,620,399,620
99,399,620,399,620
100,399,620,399,620
101,399,620,399,620
102,399,620,399,620
103,399,620,399,620
104,399,620,399,620
105,399,620,399,620
106,399,620,399,620
107,399,620,399,620
108,399,620,399,620
109,213,995,213,995
110,213,990,213,990
111,216,978,216,978
112,291,932,291,932
113,322,914,322,914
114,343,894,1503,869
115,360,877,1500,867
116,374,866,1499,866
117,391,854,1501,864
118,407,845,1498,864
119,421,837,1501,863
120,442,815,1502,863
121,464,786,1506,863
122,482,764,1497,861
123,510,743,1535,871
124,546,724,1568,885
125,581,712,1548,901
126,619,705,1528,918
127,649,703,1510,934
128,681,704,1505,935
129,694,718,1477,923
130,673,735,1479,913
131,624,749,1476,901
132,554,760,1473,888
133,496,767,1471,871
134,446,773,1470,863
135,404,778,1466,854
136,367,784,1458,845
137,327,789,1463,834
138,281,795,1496,842
139,255,800,1512,854
140,232,802,1511,866
141,234,807,1494,876
142,258,808,1482,885
143,281,812,1515,898
144,339,804,1497,892
145,349,789,1414,906
146,358,772,1414,906
147,344,755,1414,906
148,286,759,1414,906
149,247,772,1414,906
150,237,789,1414,906
151,222,808,1414,906
152,215,831,1414,906
153,250,858,1414,906
154,289,881,1414,906
155,313,873,1414,906
156,311,863,1414,906
157,329,845,1442,863
158,364,838,1456,889
159,407,826,1469,907
160,439,815,1488,919
161,465,806,1514,916
162,489,798,1587,904
163,492,794,1620,892
164,456,800,1590,897
165,432,809,1552,898
166,416,816,1515,898
167,399,823,1490,898
168,371,833,1477,897
169,318,840,1465,897
170,279,844,1457,896
171,251,849,1454,895
172,232,853,1450,893
173,253,857,1453,892
174,287,854,1453,893
175,302,842,1455,893
176,314,833,1463,893
177,328,824,1464,893
178,350,812,1468,894
179,373,801,1469,894
180,403,793,1493,901
181,441,785,1520,907
182,448,790,1557,918
183,431,814,1549,938
184,415,827,1540,952
185,382,845,1529,963
186,347,846,1522,959
187,302,836,1502,951
188,262,831,1477,946
189,237,829,1458,940
190,224,828,1449,938
191,224,832,1430,915
192,222,829,1444,909
193,234,831,1464,907
194,239,836,1487,902
195,244,840,1512,919
196,249,845,1514,937
197,256,852,1513,949
198,248,851,1513,956
199,232,839,1513,961
200,233,829,1511,959
201,251,825,1510,952
202,271,827,1506,953
203,294,827,1519,949
204,311,829,1492,943
205,326,830,1480,937
206,343,831,1474,930
207,356,834,1470,925
208,369,835,1468,921
209,398,829,1466,920
210,413,832,1464,914
211,432,829,1466,895
212,414,830,1499,909
