FrameIndex,Fish0_x,Fish0_y,Fish1_x,Fish1_y,Behavior
0,111,556,704,803,0
1,111,556,705,806,-1
2,99,300,713,809,-1
3,99,300,725,811,-1
4,99,300,732,812,-1
5,99,300,732,812,-1
6,99,300,735,811,-1
7,99,300,739,797,-1
8,99,300,756,781,-1
9,102,316,774,771,-1
10,102,325,799,763,-1
11,102,325,821,758,-1
12,102,325,838,756,-1
13,102,325,846,755,-1
14,102,325,876,742,-1
15,102,325,881,730,-1
16,102,325,882,729,-1
17,101,318,902,725,-1
18,101,318,963,725,-1
19,101,318,1051,727,-1
20,101,318,1111,727,-1
21,102,324,1156,723,-1
22,102,325,1191,716,-1
23,102,325,1238,716,-1
24,102,325,1268,720,-1
25,102,325,1286,741,-1
26,102,325,1291,756,-1
27,102,325,1299,759,-1
28,102,325,1299,762,-1
29,102,325,1266,792,-1
30,102,323,1206,792,-1
31,101,321,1146,786,-1
32,101,321,1107,784,-1
33,101,321,1067,784,-1
34,100,318,1041,799,-1
35,100,321,1027,826,-1
36,100,318,1027,838,-1
37,100,317,1031,838,-1
38,100,317,1094,833,-1
39,100,317,1094,833,-1
40,100,315,1094,833,-1
41,100,315,1094,833,-1
42,100,316,1094,833,-1
43,100,316,1094,833,-1
44,100,312,1094,833,-1
45,99,311,1094,833,-1
46,99,311,1094,833,-1
47,99,311,1094,833,-1
48,98,307,1094,833,-1
49,98,307,1094,833,-1
50,98,307,1094,833,-1
51,103,333,1094,833,-1
52,104,340,1094,833,-1
53,104,340,1094,833,-1
54,103,340,1094,833,-1
55,103,339,1094,833,-1
56,103,339,1094,833,-1
57,102,336,1094,833,-1
58,102,336,1094,833,-1
59,103,348,1094,833,-1
60,103,348,1094,833,-1
61,99,327,1094,833,-1
62,99,320,1094,833,-1
63,99,320,1094,833,-1
64,99,321,1094,833,-1
65,99,322,1094,833,-1
66,99,322,1094,833,-1
67,99,324,1094,833,-1
68,98,321,1094,833,-1
69,99,322,1094,833,-1
70,98,322,1094,833,-1
71,99,322,1094,833,-1
72,99,324,1094,833,-1
73,99,329,1094,833,-1
74,99,331,1094,833,-1
75,99,331,1094,833,-1
76,99,330,1094,833,-1
77,99,329,1094,833,-1
78,99,329,1094,833,-1
79,99,329,1094,833,-1
80,99,329,1094,833,-1
81,99,329,1094,833,-1
82,99,329,1094,833,-1
83,99,329,1094,833,-1
84,99,328,1094,833,-1
85,99,326,1094,833,-1
86,99,323,1094,833,-1
87,99,323,1094,833,-1
88,99,332,1094,833,-1
89,100,332,1094,833,-1
90,100,332,1094,833,-1
91,100,332,1094,833,-1
92,100,329,1094,833,-1
93,100,330,1094,833,-1
94,100,330,1094,833,-1
95,100,330,1094,833,-1
96,100,330,1094,833,-1
97,100,331,1094,833,-1
98,102,338,1094,833,-1
99,102,338,1094,833,-1
100,99,321,1094,833,-1
101,99,321,1094,833,-1
102,99,322,1094,833,-1
103,99,322,1094,833,-1
104,99,322,1094,833,-1
105,99,323,1094,833,-1
106,99,323,1094,833,-1
107,99,324,1094,833,-1
108,99,323,1094,833,-1
109,99,324,1094,833,-1
110,99,324,1094,833,-1
111,99,325,1094,833,-1
112,99,325,1094,833,-1
113,99,325,1094,833,-1
114,99,330,1094,833,-1
115,99,330,1094,833,-1
116,99,330,1094,833,-1
117,99,331,1094,833,-1
118,99,331,1094,833,-1
119,99,330,1094,833,-1
120,98,329,1094,833,-1
121,98,329,1094,833,-1
122,98,329,1094,833,-1
123,96,326,1094,833,-1
124,96,326,1094,833,-1
125,96,326,1094,833,-1
126,98,324,1094,833,-1
127,98,321,1094,833,-1
128,98,321,1094,833,-1
129,98,321,1094,833,-1
130,98,321,1094,833,-1
131,98,321,1094,833,-1
132,98,320,1094,833,-1
133,98,320,1094,833,-1
134,98,320,1094,833,-1
135,97,327,1094,833,-1
136,97,327,1094,833,-1
137,97,327,1094,833,-1
138,97,327,1094,833,-1
139,97,327,1094,833,-1
140,97,327,1094,833,-1
141,97,327,1094,833,-1
142,96,325,1094,833,-1
143,96,325,1094,833,-1
144,97,324,1094,833,-1
145,97,323,1094,833,-1
146,97,323,1094,833,-1
147,97,324,1094,833,-1
148,97,324,1094,833,-1
149,97,324,1094,833,-1
150,98,318,1094,833,-1
151,98,313,1094,833,-1
152,98,317,1094,833,-1
153,98,317,1094,833,-1
154,98,319,1094,833,-1
155,98,330,1094,833,-1
156,97,319,1094,833,-1
157,98,320,1094,833,-1
158,97,319,1094,833,-1
159,97,319,1094,833,-1
160,95,319,1094,833,-1
161,95,321,1094,833,-1
162,95,321,1094,833,-1
163,96,321,1094,833,-1
164,99,327,1094,833,-1
165,100,327,1094,833,-1
166,104,367,1094,833,-1
167,100,319,1094,833,-1
168,99,316,1094,833,-1
169,99,315,1094,833,-1
170,99,315,1094,833,-1
171,99,315,1094,833,-1
172,99,316,1094,833,-1
173,99,315,1094,833,-1
174,99,316,1094,833,-1
175,98,314,1094,833,-1
176,98,315,1094,833,-1
177,98,315,1094,833,-1
178,98,315,1094,833,-1
179,98,315,1094,833,-1
180,98,316,1094,833,-1
181,98,316,1094,833,-1
182,98,317,1094,833,-1
183,98,316,1094,833,-1
184,98,317,1094,833,-1
185,98,317,1094,833,-1
186,98,318,1094,833,-1
187,98,318,1094,833,-1
188,98,319,1094,833,-1
189,98,319,1094,833,-1
190,98,317,1094,833,-1
191,98,317,1094,833,-1
192,98,317,1094,833,-1
193,93,285,1094,833,-1
194,93,285,1094,833,-1
195,93,285,1094,833,-1
196,94,291,1094,833,-1
197,95,292,1094,833,-1
198,95,292,1094,833,-1
199,90,266,1094,833,-1
200,90,266,1094,833,-1
201,90,267,1094,833,-1
202,91,267,1094,833,-1
203,92,264,1094,833,-1
204,92,264,1094,833,-1
205,87,265,1094,833,-1
206,78,277,1094,833,-1
207,78,277,1094,833,-1
208,78,277,1094,833,-1
209,100,568,1094,833,-1
210,100,568,1094,833,-1
211,125,535,1094,833,-1
212,125,534,1094,833,-1
213,125,534,1094,833,-1
214,125,534,1094,833,-1
215,131,660,1094,833,-1
216,134,755,1094,833,-1
217,135,759,1094,833,-1
218,135,759,1094,833,-1
219,135,759,1094,833,-1
220,136,760,1094,833,-1
221,136,760,1094,833,-1
222,136,760,1094,833,-1
223,136,760,1094,833,-1
224,134,760,1094,833,-1
225,134,761,1094,833,-1
226,136,761,1094,833,-1
227,137,756,1094,833,-1
228,141,729,1094,833,-1
229,141,729,1094,833,-1
230,136,761,1094,833,-1
231,136,761,1094,833,-1
232,137,761,1094,833,-1
233,137,761,1094,833,-1
234,136,760,1094,833,-1
235,136,760,1094,833,-1
236,136,760,1094,833,-1
237,136,760,1094,833,-1
238,136,760,1094,833,-1
